,VNQ,GLD,RSP,TLT,SVXY,TIP,EEM,SRLN,IWM,VMBS,RPG,VTI,CWB,HYG,VUG,GLTR,LQD,UGAZ,AMLP,REM,EMB
12/30/05,34.7088,51.58,34.5457,60.2602,8.135322178,72.752,23.1058,29.48490409,56.1529,32.69996233,31.27113349,48.2759,23.45867863,44.28347272,45.752,31.595834,63.67693,1.77441E+12,4.665879817,46.61979721,53.58647949
1/3/06,35.4341,53.12,35.1466,60.1801,8.348937854,72.9096,23.9954,29.48406731,57.2837,32.76864502,31.71081754,48.9981,23.45829088,44.35868563,46.4259,32.4763248,64.03072,1.49023E+12,4.760093646,48.12040014,53.67983209
1/4/06,35.706,53.3,35.3512,60.3269,8.423456426,72.9167,24.2191,29.48323055,57.5983,32.8222178,31.86131044,49.3592,23.45790314,44.42212929,46.7887,32.63192212,64.03072,1.30964E+12,4.794013991,48.61366497,53.96456469
1/5/06,35.9901,52.34,35.3512,60.2535,8.465199166,72.7018,24.3458,29.48239382,57.9129,32.84661332,31.85111204,49.3275,23.45751541,44.48599187,46.7973,32.25059428,64.08469,1.04061E+12,4.79930065,49.06592632,53.9084715
1/6/06,36.3407,53.72,35.7033,60.1401,8.615447762,72.6659,24.8688,29.52063274,58.6102,32.85355468,32.18943286,49.8196,23.45712768,44.53485491,47.2725,32.45588209,63.98275,1.08425E+12,4.822280499,48.97535166,54.028401
1/9/06,36.661,54.6,35.95,60.1801,8.776794433,72.7519,25.1195,29.51979497,59.0013,32.87951301,32.42940564,50.0061,23.45673995,44.60369989,47.5058,33.00649142,63.99474,9.92328E+11,4.861706993,49.25319554,54.02639746
1/10/06,36.8907,54.06,35.9585,59.6865,8.921641685,72.5871,24.8095,29.51895722,59.537,32.79657954,32.38772522,50.0775,23.45635224,44.5968928,47.4971,33.09890488,63.82084,9.85285E+11,4.872849679,49.50105185,53.86556761
1/11/06,36.9511,54.53,36.0365,59.5865,9.035524563,72.4725,25.1087,29.5181195,59.435,32.77434434,32.47197287,50.2203,23.45596453,44.59479201,47.6354,32.89207572,63.71291,9.52741E+11,4.87223955,50.20912524,53.91375777
1/12/06,36.8423,54.43,35.8172,59.9934,8.933309666,72.7591,24.7502,29.51728179,59.2224,32.8542272,32.33762004,49.9307,23.45557682,44.57098775,47.3675,32.99586591,63.91679,8.65468E+11,4.845550026,49.83948286,53.86752448
1/13/06,36.3709,55.44,35.8509,60.3469,8.957013571,72.9597,24.7771,29.56696165,59.2479,32.93072307,32.35979048,49.9858,24.09003804,44.60028328,47.3762,33.23889834,64.10868,8.2093E+11,4.875413092,49.67669332,54.02411316
1/17/06,36.2198,55.26,35.6738,60.6204,8.853026655,73.1317,24.3323,29.56612259,58.9673,32.95042875,32.26729543,49.8077,24.08964028,44.57823569,47.1948,33.48502958,64.10868,9.29788E+11,4.895456668,49.25074772,54.05625642
1/18/06,36.2137,54.07,35.6401,60.6004,8.732011381,73.0959,24.3189,29.56528355,58.8653,32.94747058,32.16078866,49.6529,24.08924251,44.56598658,46.9788,32.97021192,64.09069,7.95447E+11,4.901577758,49.22443212,54.14019071
1/19/06,36.6852,55.59,35.9268,60.4203,8.83674729,73.0385,25.1276,29.56444454,59.7921,32.91221017,32.39712549,49.9267,24.08884476,44.59401622,47.2639,33.35609672,64.07869,8.50228E+11,4.940922795,49.67179745,54.29355927
